cod_ibge;tiposeade;estadual;federal;municipal;particular;total_geral
3500105;Clínica;0;0;6;20;26
3500105;Consultório Isolado;0;0;6;148;154
3500105;Diagnose e Terapia;0;0;1;16;17
3500105;Hospital;0;0;0;2;2
3500105;Outros;0;0;3;1;4
3500105;Pronto Atendimento;0;0;0;0;0
3500105;Unidade Básica de Saúde;0;0;9;0;9
3500105;Unidade de Saúde Mental ;0;0;1;0;1
3500105;Unidade Móvel;1;0;1;0;2
3500105;Vigilância em Saúde;0;0;4;0;4
3500204;Clínica;0;0;1;0;1
3500204;Consultório Isolado;0;0;0;2;2
3500204;Diagnose e Terapia;0;0;0;1;1
3500204;Hospital;0;0;0;0;0
3500204;Outros;0;0;1;0;1
3500204;Pronto Atendimento;0;0;0;0;0
3500204;Unidade Básica de Saúde;0;0;1;0;1
3500204;Unidade de Saúde Mental ;0;0;0;0;0
3500204;Unidade Móvel;0;0;0;0;0
3500204;Vigilância em Saúde;0;0;0;0;0
3500303;Clínica;0;0;2;3;5
3500303;Consultório Isolado;0;0;0;56;56
3500303;Diagnose e Terapia;0;0;1;7;8
3500303;Hospital;0;0;0;1;1
3500303;Outros;0;0;2;4;6
3500303;Pronto Atendimento;0;0;1;0;1
3500303;Unidade Básica de Saúde;0;0;5;0;5
3500303;Unidade de Saúde Mental ;0;0;1;0;1
3500303;Unidade Móvel;0;0;1;0;1
3500303;Vigilância em Saúde;0;0;2;0;2
3500402;Clínica;0;0;0;3;3
3500402;Consultório Isolado;0;0;0;4;4
3500402;Diagnose e Terapia;0;0;0;0;0
3500402;Hospital;0;0;0;0;0
3500402;Outros;0;0;1;0;1
3500402;Pronto Atendimento;0;0;0;0;0
3500402;Unidade Básica de Saúde;0;0;3;0;3
3500402;Unidade de Saúde Mental ;0;0;0;0;0
3500402;Unidade Móvel;0;0;0;0;0
3500402;Vigilância em Saúde;0;0;0;0;0
3500501;Clínica;0;0;2;9;11
3500501;Consultório Isolado;0;0;0;30;30
3500501;Diagnose e Terapia;0;0;0;6;6
3500501;Hospital;0;0;0;1;1
3500501;Outros;0;0;1;0;1
3500501;Pronto Atendimento;0;0;0;0;0
3500501;Unidade Básica de Saúde;0;0;7;0;7
3500501;Unidade de Saúde Mental ;0;0;1;0;1
3500501;Unidade Móvel;0;0;0;0;0
3500501;Vigilância em Saúde;0;0;1;0;1
3500550;Clínica;0;0;0;2;2
3500550;Consultório Isolado;0;0;0;6;6
3500550;Diagnose e Terapia;0;0;0;0;0
3500550;Hospital;0;0;0;0;0
3500550;Outros;0;0;1;0;1
3500550;Pronto Atendimento;0;0;0;0;0
3500550;Unidade Básica de Saúde;0;0;4;0;4
3500550;Unidade de Saúde Mental ;0;0;0;0;0
3500550;Unidade Móvel;0;0;0;0;0
3500550;Vigilância em Saúde;0;0;0;0;0
3500600;Clínica;0;0;1;0;1
3500600;Consultório Isolado;0;0;0;2;2
3500600;Diagnose e Terapia;0;0;0;2;2
3500600;Hospital;0;0;0;0;0
3500600;Outros;0;0;2;0;2
3500600;Pronto Atendimento;0;0;1;0;1
3500600;Unidade Básica de Saúde;0;0;1;0;1
3500600;Unidade de Saúde Mental ;0;0;0;0;0
3500600;Unidade Móvel;0;0;0;0;0
3500600;Vigilância em Saúde;0;0;0;0;0
3500709;Clínica;0;0;0;5;5
3500709;Consultório Isolado;0;0;0;34;34
3500709;Diagnose e Terapia;0;0;0;2;2
3500709;Hospital;0;0;0;1;1
3500709;Outros;0;0;1;0;1
3500709;Pronto Atendimento;0;0;1;0;1
3500709;Unidade Básica de Saúde;0;0;11;0;11
3500709;Unidade de Saúde Mental ;0;0;1;0;1
3500709;Unidade Móvel;0;0;1;0;1
3500709;Vigilância em Saúde;0;0;0;0;0
3500758;Clínica;0;0;0;0;0
3500758;Consultório Isolado;0;0;0;1;1
3500758;Diagnose e Terapia;0;0;0;1;1
3500758;Hospital;0;0;0;0;0
3500758;Outros;0;0;2;0;2
3500758;Pronto Atendimento;0;0;0;0;0
3500758;Unidade Básica de Saúde;0;0;5;0;5
3500758;Unidade de Saúde Mental ;0;0;0;0;0
3500758;Unidade Móvel;0;0;1;0;1
3500758;Vigilância em Saúde;0;0;0;0;0
3500808;Clínica;0;0;0;0;0
3500808;Consultório Isolado;0;0;0;1;1
3500808;Diagnose e Terapia;0;0;0;0;0
3500808;Hospital;0;0;0;0;0
3500808;Outros;0;0;1;0;1
3500808;Pronto Atendimento;0;0;0;0;0
3500808;Unidade Básica de Saúde;0;0;1;0;1
3500808;Unidade de Saúde Mental ;0;0;0;0;0
3500808;Unidade Móvel;0;0;0;0;0
3500808;Vigilância em Saúde;0;0;0;0;0
3500907;Clínica;0;0;1;0;1
3500907;Consultório Isolado;0;0;0;3;3
