Código IBGE;Municípios;   Ano   ;População
3500105;Adamantina;2022;33.846
3500204;Adolfo;2022;3.427
3500303;Aguaí;2022;36.164
3500402;Águas da Prata;2022;7.817
3500501;Águas de Lindóia;2022;18.503
3500550;Águas de Santa Bárbara;2022;5.984
3500600;Águas de São Pedro;2022;3.166
3500709;Agudos;2022;36.377
3500758;Alambari;2022;5.935
3500808;Alfredo Marcondes;2022;3.920
3500907;Altair;2022;4.068
3501004;Altinópolis;2022;15.540
3501103;Alto Alegre;2022;3.996
3501152;Alumínio;2022;18.166
3501202;Álvares Florence;2022;3.569
3501301;Álvares Machado;2022;23.867
3501400;Álvaro de Carvalho;2022;5.113
3501509;Alvinlândia;2022;3.204
3501608;Americana;2022;236.701
3501707;Américo Brasiliense;2022;41.113
3501806;Américo de Campos;2022;5.725
3501905;Amparo;2022;70.083
3502002;Analândia;2022;4.941
3502101;Andradina;2022;56.120
3502200;Angatuba;2022;24.897
3502309;Anhembi;2022;6.840
3502408;Anhumas;2022;4.004
3502507;Aparecida;2022;35.778
3502606;Aparecida d'Oeste;2022;4.077
3502705;Apiaí;2022;24.757
3502754;Araçariguama;2022;21.604
3502804;Araçatuba;2022;191.376
3502903;Araçoiaba da Serra;2022;33.307
3503000;Aramina;2022;5.535
3503109;Arandu;2022;6.171
3503158;Arapeí;2022;2.467
3503208;Araraquara;2022;229.973
3503307;Araras;2022;132.811
3503356;Arco-Íris;2022;1.795
3503406;Arealva;2022;8.249
3503505;Areias;2022;3.879
3503604;Areiópolis;2022;10.943
3503703;Ariranha;2022;9.437
3503802;Artur Nogueira;2022;53.846
3503901;Arujá;2022;92.190
3503950;Aspásia;2022;1.755
3504008;Assis;2022;102.272
3504107;Atibaia;2022;141.579
3504206;Auriflama;2022;14.483
3504305;Avaí;2022;5.340
3504404;Avanhandava;2022;12.264
3504503;Avaré;2022;88.172
3504602;Bady Bassitt;2022;16.553
3504701;Balbinos;2022;3.708
3504800;Bálsamo;2022;8.560
3504909;Bananal;2022;10.731
3505005;Barão de Antonina;2022;3.433
3505104;Barbosa;2022;7.407
3505203;Bariri;2022;34.368
3505302;Barra Bonita;2022;34.814
3505351;Barra do Chapéu;2022;5.591
3505401;Barra do Turvo;2022;7.733
3505500;Barretos;2022;118.791
3505609;Barrinha;2022;32.980
3505708;Barueri;2022;268.096
3505807;Bastos;2022;20.290
3505906;Batatais;2022;60.784
3506003;Bauru;2022;366.825
3506102;Bebedouro;2022;73.784
3506201;Bento de Abreu;2022;2.987
3506300;Bernardino de Campos;2022;10.799
3506359;Bertioga;2022;65.785
3506409;Bilac;2022;7.894
3506508;Birigui;2022;123.001
3506607;Biritiba Mirim;2022;33.031
3506706;Boa Esperança do Sul;2022;14.735
3506805;Bocaina;2022;12.351
3506904;Bofete;2022;11.314
3507001;Boituva;2022;58.689
3507100;Bom Jesus dos Perdões;2022;24.963
3507159;Bom Sucesso de Itararé;2022;3.928
3507209;Borá;2022;811
3507308;Boracéia;2022;4.837
3507407;Borborema;2022;15.418
3507456;Borebi;2022;2.625
3507506;Botucatu;2022;143.056
3507605;Bragança Paulista;2022;166.512
3507704;Braúna;2022;5.634
3507753;Brejo Alegre;2022;2.793
3507803;Brodowski;2022;24.322
3507902;Brotas;2022;24.229
3508009;Buri;2022;19.962
3508108;Buritama;2022;16.748
3508207;Buritizal;2022;4.338
3508306;Cabrália Paulista;2022;4.304
3508405;Cabreúva;2022;50.803
3508504;Caçapava;2022;92.078
3508603;Cachoeira Paulista;2022;32.531
3508702;Caconde;2022;18.930
3508801;Cafelândia;2022;17.328
3508900;Caiabu;2022;4.107
3509007;Caieiras;2022;102.898
3509106;Caiuá;2022;5.686
3509205;Cajamar;2022;79.961
3509254;Cajati;2022;29.241
3509304;Cajobi;2022;10.142
3509403;Cajuru;2022;26.037
3509452;Campina do Monte Alegre;2022;5.851
3509502;Campinas;2022;1.187.642
3509601;Campo Limpo Paulista;2022;84.226
3509700;Campos do Jordão;2022;50.497
3509809;Campos Novos Paulista;2022;4.865
3509908;Cananéia;2022;12.417
3509957;Canas;2022;5.177
3510005;Cândido Mota;2022;30.001
3510104;Cândido Rodrigues;2022;2.670
3510153;Canitar;2022;5.110
3510203;Capão Bonito;2022;46.625
3510302;Capela do Alto;2022;21.116
3510401;Capivari;2022;55.144
3510500;Caraguatatuba;2022;118.083
3510609;Carapicuíba;2022;398.305
3510708;Cardoso;2022;11.701
3510807;Casa Branca;2022;29.637
3510906;Cássia dos Coqueiros;2022;2.479
3511003;Castilho;2022;21.148
3511102;Catanduva;2022;117.621
3511201;Catiguá;2022;7.581
3511300;Cedral;2022;8.955
3511409;Cerqueira César;2022;19.489
3511508;Cerquilho;2022;47.458
3511607;Cesário Lange;2022;17.472
3511706;Charqueada;2022;17.220
3511904;Clementina;2022;8.503
3512001;Colina;2022;17.608
3512100;Colômbia;2022;6.049
3512209;Conchal;2022;27.607
3512308;Conchas;2022;17.273
3512407;Cordeirópolis;2022;24.876
3512506;Coroados;2022;6.015
3512605;Coronel Macedo;2022;4.834
3512704;Corumbataí;2022;3.977
3512803;Cosmópolis;2022;73.161
3512902;Cosmorama;2022;6.954
3513009;Cotia;2022;255.404
3513108;Cravinhos;2022;34.847
3513207;Cristais Paulista;2022;8.562
3513306;Cruzália;2022;2.092
3513405;Cruzeiro;2022;80.330
3513504;Cubatão;2022;130.912
3513603;Cunha;2022;21.640
3513702;Descalvado;2022;32.602
3513801;Diadema;2022;406.719
3513850;Dirce Reis;2022;1.713
3513900;Divinolândia;2022;10.844
3514007;Dobrada;2022;9.067
3514106;Dois Córregos;2022;27.330
3514205;Dolcinópolis;2022;2.026
3514304;Dourado;2022;8.450
3514403;Dracena;2022;45.181
3514502;Duartina;2022;11.907
3514601;Dumont;2022;9.749
3514700;Echaporã;2022;6.198
3514809;Eldorado;2022;15.427
3514908;Elias Fausto;2022;17.573
3514924;Elisiário;2022;3.536
3514957;Embaúba;2022;2.402
3515004;Embu;2022;275.765
3515103;Embu-Guaçu;2022;69.081
3515129;Emilianópolis;2022;3.068
3515152;Engenheiro Coelho;2022;21.240
3515186;Espírito Santo do Pinhal;2022;42.705
3515194;Espírito Santo do Turvo;2022;4.901
3515202;Estrela d'Oeste;2022;8.073
3515301;Estrela do Norte;2022;2.670
3515350;Euclides da Cunha Paulista;2022;9.560
3515400;Fartura;2022;15.714
3515509;Fernandópolis;2022;66.150
3515608;Fernando Prestes;2022;5.564
3515657;Fernão;2022;1.664
3515707;Ferraz de Vasconcelos;2022;197.323
3515806;Flora Rica;2022;1.562
3515905;Floreal;2022;2.829
3516002;Flórida Paulista;2022;12.001
3516101;Florínia;2022;2.690
3516200;Franca;2022;345.485
3516309;Francisco Morato;2022;178.312
3516408;Franco da Rocha;2022;155.621
3516507;Gabriel Monteiro;2022;2.671
3516606;Gália;2022;6.512
3516705;Garça;2022;42.287
3516804;Gastão Vidigal;2022;4.855
3516853;Gavião Peixoto;2022;4.644
3516903;General Salgado;2022;10.615
3517000;Getulina;2022;10.864
3517109;Glicério;2022;4.774
3517208;Guaiçara;2022;12.143
3517307;Guaimbê;2022;5.560
3517406;Guaíra;2022;39.248
3517505;Guapiaçu;2022;21.272
3517604;Guapiara;2022;17.890
3517703;Guará;2022;20.992
3517802;Guaraçai;2022;8.389
3517901;Guaraci;2022;11.122
3518008;Guarani d'Oeste;2022;1.912
3518107;Guarantã;2022;6.493
3518206;Guararapes;2022;32.243
3518305;Guararema;2022;30.046
3518404;Guaratinguetá;2022;119.138
3518503;Guareí;2022;15.938
