cod_ibge;localidades;periodos;leitos_total;leitos_hab;leitos_sus;leitos_sus_hab;leitos_nao_sus;leitos_naosus_hab
3500105;Adamantina;2011;308;9,1;271;8;37;1,1
3500105;Adamantina;2013;284;8,4;240;7,1;44;1,3
3500105;Adamantina;2014;279;8,2;240;7,1;39;1,2
3500105;Adamantina;2015;279;8,2;240;7,1;39;1,2
3500105;Adamantina;2010;308;9,1;271;8;37;1,1
3500105;Adamantina;2012;300;8,9;263;7,8;37;1,1
3500105;Adamantina;2016;279;8,2;240;7,1;39;1,2
3500105;Adamantina;2017;258;7,6;219;6,5;39;1,2
3500105;Adamantina;2018;258;7,6;219;6,5;39;1,2
3500105;Adamantina;2019;235;6,9;206;6,1;29;0,9
3500105;Adamantina;2020;235;6,69;206;5,87;29;0,83
3500105;Adamantina;2021;235;6,69;206;5,86;29;0,82
3500204;Adolfo;2018;0;0;0;0;0;0
3500204;Adolfo;2015;0;0;0;0;0;0
3500204;Adolfo;2019;0;0;0;0;0;0
3500204;Adolfo;2016;0;0;0;0;0;0
3500204;Adolfo;2017;0;0;0;0;0;0
3500204;Adolfo;2014;0;0;0;0;0;0
3500204;Adolfo;2013;0;0;0;0;0;0
3500204;Adolfo;2011;0;0;0;0;0;0
3500204;Adolfo;2010;0;0;0;0;0;0
3500204;Adolfo;2012;0;0;0;0;0;0
3500204;Adolfo;2020;0;0;0;0;0;0
3500204;Adolfo;2021;0;0;0;0;0;0
3500303;Aguaí;2017;10;0,3;0;0;10;0,3
3500303;Aguaí;2019;0;0;0;0;0;0
3500303;Aguaí;2014;0;0;0;0;0;0
3500303;Aguaí;2013;0;0;0;0;0;0
3500303;Aguaí;2016;10;0,3;0;0;10;0,3
3500303;Aguaí;2015;0;0;0;0;0;0
3500303;Aguaí;2018;10;0,3;0;0;10;0,3
3500303;Aguaí;2010;76;2,4;49;1,5;27;0,8
3500303;Aguaí;2011;76;2,3;49;1,5;27;0,8
3500303;Aguaí;2012;76;2,3;49;1,5;27;0,8
3500303;Aguaí;2020;0;0;0;0;0;0
3500303;Aguaí;2021;0;0;0;0;0;0
3500402;Águas da Prata;2015;0;0;0;0;0;0
3500402;Águas da Prata;2019;0;0;0;0;0;0
3500402;Águas da Prata;2016;0;0;0;0;0;0
3500402;Águas da Prata;2017;0;0;0;0;0;0
3500402;Águas da Prata;2014;0;0;0;0;0;0
3500402;Águas da Prata;2018;0;0;0;0;0;0
3500402;Águas da Prata;2013;0;0;0;0;0;0
3500402;Águas da Prata;2011;0;0;0;0;0;0
3500402;Águas da Prata;2010;0;0;0;0;0;0
3500402;Águas da Prata;2012;0;0;0;0;0;0
3500402;Águas da Prata;2020;0;0;0;0;0;0
3500402;Águas da Prata;2021;0;0;0;0;0;0
3500501;Águas de Lindóia;2015;42;2,4;30;1,7;12;0,7
3500501;Águas de Lindóia;2011;42;2,4;30;1,7;12;0,7
3500501;Águas de Lindóia;2012;42;2,4;30;1,7;12;0,7
3500501;Águas de Lindóia;2013;42;2,4;30;1,7;12;0,7
3500501;Águas de Lindóia;2014;42;2,4;30;1,7;12;0,7
3500501;Águas de Lindóia;2010;42;2,4;30;1,7;12;0,7
3500501;Águas de Lindóia;2016;42;2,3;30;1,7;12;0,7
3500501;Águas de Lindóia;2017;42;2,3;30;1,7;12;0,7
3500501;Águas de Lindóia;2018;42;2,3;30;1,7;12;0,7
3500501;Águas de Lindóia;2019;42;2,3;30;1,6;12;0,7
3500501;Águas de Lindóia;2020;30;1,6;22;1,17;8;0,43
3500501;Águas de Lindóia;2021;30;1,59;22;1,16;8;0,42
3500550;Águas de Santa Bárbara;2015;0;0;0;0;0;0
3500550;Águas de Santa Bárbara;2019;0;0;0;0;0;0
3500550;Águas de Santa Bárbara;2016;0;0;0;0;0;0
3500550;Águas de Santa Bárbara;2017;0;0;0;0;0;0
3500550;Águas de Santa Bárbara;2014;0;0;0;0;0;0
3500550;Águas de Santa Bárbara;2018;0;0;0;0;0;0
3500550;Águas de Santa Bárbara;2013;0;0;0;0;0;0
3500550;Águas de Santa Bárbara;2011;0;0;0;0;0;0
3500550;Águas de Santa Bárbara;2010;0;0;0;0;0;0
3500550;Águas de Santa Bárbara;2012;0;0;0;0;0;0
3500550;Águas de Santa Bárbara;2020;0;0;0;0;0;0
3500550;Águas de Santa Bárbara;2021;0;0;0;0;0;0
3500600;Águas de São Pedro;2019;0;0;0;0;0;0
3500600;Águas de São Pedro;2017;0;0;0;0;0;0
3500600;Águas de São Pedro;2018;0;0;0;0;0;0
3500600;Águas de São Pedro;2010;0;0;0;0;0;0
3500600;Águas de São Pedro;2011;4;1,5;4;1,5;0;0
3500600;Águas de São Pedro;2012;4;1,4;4;1,4;0;0
3500600;Águas de São Pedro;2013;4;1,4;4;1,4;0;0
3500600;Águas de São Pedro;2014;4;1,4;4;1,4;0;0
3500600;Águas de São Pedro;2015;4;1,4;4;1,4;0;0
3500600;Águas de São Pedro;2016;4;1,4;4;1,4;0;0
3500600;Águas de São Pedro;2020;0;0;0;0;0;0
3500600;Águas de São Pedro;2021;0;0;0;0;0;0
3500709;Agudos;2010;65;1,9;43;1,3;22;0,6
3500709;Agudos;2012;65;1,9;43;1,2;22;0,6
3500709;Agudos;2013;65;1,9;43;1,2;22;0,6
3500709;Agudos;2014;60;1,7;38;1,1;22;0,6
3500709;Agudos;2015;60;1,7;38;1,1;22;0,6
3500709;Agudos;2011;65;1,9;43;1,2;22;0,6
3500709;Agudos;2016;60;1,7;38;1,1;22;0,6
3500709;Agudos;2017;60;1,7;38;1,1;22;0,6
3500709;Agudos;2018;60;1,7;38;1,1;22;0,6
3500709;Agudos;2019;60;1,7;38;1,1;22;0,6
3500709;Agudos;2020;55;1,47;39;1,04;16;0,43
3500709;Agudos;2021;55;1,46;39;1,04;16;0,43
3500758;Alambari;2015;0;0;0;0;0;0
3500758;Alambari;2019;0;0;0;0;0;0
3500758;Alambari;2016;0;0;0;0;0;0
3500758;Alambari;2017;0;0;0;0;0;0
3500758;Alambari;2014;0;0;0;0;0;0
3500758;Alambari;2018;0;0;0;0;0;0
3500758;Alambari;2013;0;0;0;0;0;0
3500758;Alambari;2011;0;0;0;0;0;0
3500758;Alambari;2010;0;0;0;0;0;0
3500758;Alambari;2012;0;0;0;0;0;0
3500758;Alambari;2020;0;0;0;0;0;0
3500758;Alambari;2021;0;0;0;0;0;0
3500808;Alfredo Marcondes;2018;0;0;0;0;0;0
3500808;Alfredo Marcondes;2015;0;0;0;0;0;0
3500808;Alfredo Marcondes;2019;0;0;0;0;0;0
3500808;Alfredo Marcondes;2016;0;0;0;0;0;0
3500808;Alfredo Marcondes;2017;0;0;0;0;0;0
3500808;Alfredo Marcondes;2014;0;0;0;0;0;0
3500808;Alfredo Marcondes;2013;0;0;0;0;0;0
3500808;Alfredo Marcondes;2011;0;0;0;0;0;0
3500808;Alfredo Marcondes;2010;0;0;0;0;0;0
3500808;Alfredo Marcondes;2012;0;0;0;0;0;0
3500808;Alfredo Marcondes;2020;0;0;0;0;0;0
3500808;Alfredo Marcondes;2021;0;0;0;0;0;0
3500907;Altair;2018;0;0;0;0;0;0
3500907;Altair;2019;0;0;0;0;0;0
3500907;Altair;2016;0;0;0;0;0;0
3500907;Altair;2017;0;0;0;0;0;0
3500907;Altair;2014;0;0;0;0;0;0
3500907;Altair;2015;0;0;0;0;0;0
3500907;Altair;2013;0;0;0;0;0;0
3500907;Altair;2011;0;0;0;0;0;0
